video_id,title,channel_title,category_id,views,likes,dislikes,comment_count
2Vv-BfVoq4g,Ed Sheeran - Perfect (Official Music Video),Ed Sheeran,10,39082222,1721384,23137,90352
n1WpP7iowLc,Eminem - Walk On Water (Audio) ft. Beyoncé,EminemVEVO,10,22702386,869304,50018,123235
9t9u_yPEidY,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",JenniferLopezVEVO,10,12974558,216320,17751,12133
c64I9HNpiOY,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,T-Series,10,11810521,142237,9944,11907
f-UzOpuKOVY,Fukrey Returns | Trailer | Pulkit Samrat | Varun Sharma | Manjot Singh | Ali Fazal | Richa Chadha,excelmovies,24,5792827,48443,1230,1835
H1KBHFXm2Bg,21 Savage - Bank Account (Official Music Video),21 Savage,10,5776317,278236,9262,29761
7MxiQ4v0EnE,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,Speed Records,10,5718766,127477,7134,8063
6p-QzY5bxJ0,The 'Stranger Things' Kids Were Nearly a Motown Super Group,The Late Late Show with James Corden,24,5541767,263919,1502,10706
kgaO45SyaO4,The New SpotMini,BostonDynamics,28,5531707,72727,3362,14816
1SiKopOt-QM,26 SIMPLE WAYS TO SPEED UP YOUR EVERYDAY ROUTINE,5-Minute Crafts,26,5168203,51975,5286,2538
